Rec,Time,P1,P2
0.888,333,0.899999619,0.982424156
0.888,334,0.900371702,0.98255178
0.889,335,0.900742112,0.98267833
0.889,336,0.901110859,0.982803818
0.89,337,0.901477951,0.982928253
0.89,338,0.901843396,0.983051646
0.89,339,0.902207202,0.983174006
0.89,340,0.902569379,0.983295342
0.891,341,0.902929934,0.983415666
0.891,342,0.903288875,0.983534985
0.891,343,0.903646211,0.98365331
0.892,344,0.904001949,0.983770651
0.892,345,0.904356099,0.983887015
0.892,346,0.904708667,0.984002413
0.892,347,0.905059662,0.984116854
0.893,348,0.905409092,0.984230346
0.893,349,0.905756965,0.984342899
0.893,350,0.906103289,0.984454521
0.893,351,0.906448072,0.984565221
0.893,352,0.90679132,0.984675008
0.894,353,0.907133043,0.98478389
0.894,354,0.907473248,0.984891875
0.896,355,0.907811942,0.984998973
0.897,356,0.908149133,0.985105191
0.897,357,0.90848483,0.985210537
0.898,358,0.908819038,0.985315019
0.899,359,0.909151767,0.985418646
0.899,360,0.909483022,0.985521426
0.901,361,0.909812813,0.985623366
0.901,362,0.910141145,0.985724474
0.902,363,0.910468028,0.985824758
0.903,364,0.910793467,0.985924226
0.903,365,0.91111747,0.986022884
0.904,366,0.911440044,0.986120741
0.904,367,0.911761197,0.986217803
0.905,368,0.912080936,0.986314079
0.905,369,0.912399267,0.986409575
0.905,370,0.912716199,0.986504299
0.906,371,0.913031737,0.986598257
0.906,372,0.91334589,0.986691457
0.906,373,0.913658663,0.986783905
0.906,374,0.913970064,0.986875609
0.906,375,0.9142801,0.986966575
0.906,376,0.914588778,0.987056811
0.906,377,0.914896104,0.987146321
0.906,378,0.915202086,0.987235115
0.906,379,0.915506729,0.987323196
0.906,380,0.915810042,0.987410574
0.906,381,0.916112029,0.987497253
0.906,382,0.916412699,0.987583239
0.907,383,0.916712058,0.987668541
0.907,384,0.917010111,0.987753162
0.908,385,0.917306867,0.98783711
0.91,386,0.917602331,0.987920391
0.91,387,0.917896509,0.988003011
0.913,388,0.918189409,0.988084976
0.913,389,0.918481036,0.988166291
0.913,390,0.918771398,0.988246962
0.913,391,0.919060499,0.988326996
0.913,392,0.919348348,0.988406398
0.913,393,0.919634949,0.988485173
0.914,394,0.919920309,0.988563328
0.914,395,0.920204435,0.988640868
0.917,396,0.920487332,0.988717797
0.917,397,0.920769006,0.988794123
0.917,398,0.921049464,0.98886985
0.918,399,0.921328712,0.988944983
0.918,400,0.921606756,0.989019528
0.918,401,0.921883602,0.989093491
0.918,402,0.922159255,0.989166875
0.918,403,0.922433722,0.989239687
0.918,404,0.922707009,0.989311931
0.918,405,0.922979121,0.989383613
0.918,406,0.923250064,0.989454737
0.918,407,0.923519845,0.989525308
0.919,408,0.923788468,0.989595332
0.921,409,0.92405594,0.989664813
0.922,410,0.924322267,0.989733755
0.923,411,0.924587453,0.989802165
0.924,412,0.924851506,0.989870045
0.924,413,0.925114429,0.989937402
0.925,414,0.92537623,0.990004239
0.925,415,0.925636913,0.990070562
0.925,416,0.925896484,0.990136374
0.925,417,0.926154948,0.99020168
0.925,418,0.926412312,0.990266484
0.926,419,0.92666858,0.990330792
0.926,420,0.926923758,0.990394606
0.926,421,0.927177851,0.990457933
0.926,422,0.927430864,0.990520775
0.926,423,0.927682804,0.990583137
0.927,424,0.927933675,0.990645023
0.928,425,0.928183483,0.990706438
0.929,426,0.928432232,0.990767385
0.929,427,0.928679928,0.990827869
0.93,428,0.928926577,0.990887893
0.931,429,0.929172182,0.990947461
0.932,430,0.92941675,0.991006578
0.934,431,0.929660286,0.991065247
0.934,432,0.929902795,0.991123472
0.934,433,0.930144281,0.991181257
0.935,434,0.93038475,0.991238606
0.935,435,0.930624206,0.991295523
0.935,436,0.930862656,0.99135201
0.935,437,0.931100103,0.991408073
0.935,438,0.931336552,0.991463714
0.935,439,0.931572009,0.991518937
0.935,440,0.931806478,0.991573746
0.936,441,0.932039964,0.991628145
0.936,442,0.932272473,0.991682136
0.937,443,0.932504008,0.991735723
0.938,444,0.932734574,0.99178891
0.939,445,0.932964177,0.9918417
0.94,446,0.93319282,0.991894096
0.94,447,0.93342051,0.991946102
0.94,448,0.933647249,0.991997721
0.94,449,0.933873044,0.992048957
0.94,450,0.934097898,0.992099812
0.94,451,0.934321816,0.992150291
0.94,452,0.934544802,0.992200395
0.94,453,0.934766862,0.992250128
0.94,454,0.934988,0.992299494
0.94,455,0.93520822,0.992348495
0.94,456,0.935427526,0.992397134
0.94,457,0.935645924,0.992445415
0.94,458,0.935863417,0.992493341
0.94,459,0.93608001,0.992540914
0.94,460,0.936295707,0.992588137
0.941,461,0.936510512,0.992635014
0.941,462,0.936724431,0.992681547
0.941,463,0.936937467,0.99272774
0.942,464,0.937149624,0.992773594
0.942,465,0.937360907,0.992819113
0.942,466,0.93757132,0.9928643
0.944,467,0.937780867,0.992909157
0.944,468,0.937989553,0.992953687
0.944,469,0.938197381,0.992997893
0.944,470,0.938404356,0.993041777
0.944,471,0.938610481,0.993085343
0.944,472,0.938815761,0.993128593
0.945,473,0.9390202,0.993171528
0.945,474,0.939223802,0.993214153
0.946,475,0.939426572,0.99325647
0.946,476,0.939628512,0.993298481
0.946,477,0.939829627,0.993340188
0.946,478,0.940029921,0.993381594
0.946,479,0.940229398,0.993422702
0.947,480,0.940428061,0.993463514
0.947,481,0.940625916,0.993504033
0.947,482,0.940822965,0.99354426
0.947,483,0.941019212,0.993584199
0.947,484,0.941214662,0.993623851
0.947,485,0.941409318,0.99366322
0.947,486,0.941603183,0.993702306
0.947,487,0.941796263,0.993741114
0.947,488,0.94198856,0.993779644
0.947,489,0.942180077,0.993817899
0.947,490,0.94237082,0.993855882
0.947,491,0.942560792,0.993893594
0.947,492,0.942749995,0.993931038
0.947,493,0.942938435,0.993968216
0.947,494,0.943126114,0.994005129
0.947,495,0.943313036,0.994041782
0.947,496,0.943499205,0.994078174
0.947,497,0.943684624,0.994114309
0.947,498,0.943869297,0.994150189
0.947,499,0.944053228,0.994185815
0.947,500,0.944236419,0.994221189
0.947,501,0.944418875,0.994256315
0.947,502,0.944600599,0.994291193
0.947,503,0.944781595,0.994325825
0.947,504,0.944961865,0.994360214
0.947,505,0.945141413,0.994394362
0.947,506,0.945320243,0.99442827
0.947,507,0.945498359,0.994461941
0.947,508,0.945675762,0.994495376
0.947,509,0.945852458,0.994528577
0.947,510,0.946028448,0.994561546
0.947,511,0.946203737,0.994594285
0.947,512,0.946378328,0.994626795
0.948,513,0.946552224,0.994659079
0.948,514,0.946725429,0.994691139
0.949,515,0.946897944,0.994722975
0.949,516,0.947069775,0.994754591
0.949,517,0.947240924,0.994785987
0.949,518,0.947411394,0.994817165
0.949,519,0.947581188,0.994848128
0.95,520,0.94775031,0.994878876
0.95,521,0.947918762,0.994909411
0.95,522,0.948086549,0.994939736
0.951,523,0.948253672,0.994969852
0.951,524,0.948420136,0.99499976
0.951,525,0.948585943,0.995029462
0.951,526,0.948751095,0.99505896
0.952,527,0.948915598,0.995088255
0.952,528,0.949079452,0.995117349
0.953,529,0.949242662,0.995146243
0.953,530,0.94940523,0.99517494
0.953,531,0.949567159,0.99520344
0.953,532,0.949728453,0.995231745
0.953,533,0.949889114,0.995259857
0.953,534,0.950049145,0.995287776
0.953,535,0.950208549,0.995315506
0.953,536,0.950367329,0.995343046
0.953,537,0.950525489,0.995370399
0.953,538,0.950683029,0.995397566
0.953,539,0.950839955,0.995424549
0.953,540,0.950996268,0.995451348
0.954,541,0.951151971,0.995477966
0.954,542,0.951307068,0.995504403
0.955,543,0.95146156,0.995530661
0.955,544,0.951615451,0.995556742
0.955,545,0.951768744,0.995582647
0.955,546,0.951921441,0.995608377
0.955,547,0.952073544,0.995633933
0.955,548,0.952225058,0.995659317
0.955,549,0.952375984,0.995684531
0.955,550,0.952526325,0.995709575
0.955,551,0.952676084,0.995734451
0.955,552,0.952825264,0.995759159
0.955,553,0.952973867,0.995783703
0.955,554,0.953121895,0.995808081
0.955,555,0.953269352,0.995832297
0.955,556,0.95341624,0.995856351
0.955,557,0.953562562,0.995880244
0.955,558,0.95370832,0.995903978
0.955,559,0.953853517,0.995927553
0.955,560,0.953998155,0.995950972
0.955,561,0.954142237,0.995974234
0.955,562,0.954285765,0.995997342
0.955,563,0.954428743,0.996020297
0.955,564,0.954571172,0.996043099
0.955,565,0.954713055,0.99606575
0.955,566,0.954854395,0.996088251
0.955,567,0.954995194,0.996110604
0.955,568,0.955135454,0.996132808
0.955,569,0.955275178,0.996154866
0.955,570,0.955414368,0.996176778
0.955,571,0.955553027,0.996198546
0.955,572,0.955691157,0.99622017
0.955,573,0.955828761,0.996241652
0.956,574,0.95596584,0.996262993
0.957,575,0.956102398,0.996284194
0.957,576,0.956238437,0.996305256
0.957,577,0.956373958,0.996326179
0.957,578,0.956508965,0.996346966
0.957,579,0.956643459,0.996367616
0.957,580,0.956777444,0.996388132
0.957,581,0.95691092,0.996408513
0.957,582,0.957043892,0.996428761
0.957,583,0.95717636,0.996448878
0.957,584,0.957308327,0.996468863
0.957,585,0.957439795,0.996488719
0.957,586,0.957570767,0.996508445
0.957,587,0.957701245,0.996528043
0.957,588,0.957831231,0.996547514
0.959,589,0.957960727,0.996566858
0.959,590,0.958089736,0.996586078
0.959,591,0.958218259,0.996605172
0.959,592,0.958346298,0.996624144
0.959,593,0.958473857,0.996642993
0.96,594,0.958600937,0.99666172
0.96,595,0.95872754,0.996680326
0.96,596,0.958853668,0.996698813
0.96,597,0.958979324,0.99671718
0.96,598,0.95910451,0.996735429
0.96,599,0.959229227,0.996753561
0.96,600,0.959353478,0.996771577
0.961,601,0.959477264,0.996789477
0.961,602,0.959600589,0.996807263
0.961,603,0.959723453,0.996824934
0.961,604,0.95984586,0.996842492
0.961,605,0.95996781,0.996859939
0.962,606,0.960089306,0.996877273
0.962,607,0.960210351,0.996894497
0.962,608,0.960330945,0.996911612
0.963,609,0.960451092,0.996928617
0.963,610,0.960570792,0.996945514
0.964,611,0.960690049,0.996962304
0.964,612,0.960808863,0.996978987
0.964,613,0.960927238,0.996995564
0.964,614,0.961045174,0.997012036
0.964,615,0.961162674,0.997028404
0.964,616,0.961279739,0.997044668
0.964,617,0.961396372,0.997060829
0.965,618,0.961512575,0.997076889
0.966,619,0.961628349,0.997092846
0.966,620,0.961743696,0.997108704
0.967,621,0.961858619,0.997124461
0.967,622,0.961973118,0.997140119
0.967,623,0.962087196,0.997155678
0.967,624,0.962200855,0.99717114
0.967,625,0.962314097,0.997186504
0.967,626,0.962426922,0.997201773
0.967,627,0.962539334,0.997216945
0.967,628,0.962651334,0.997232022
0.967,629,0.962762924,0.997247006
0.967,630,0.962874105,0.997261895
0.967,631,0.96298488,0.997276691
0.967,632,0.96309525,0.997291395
0.967,633,0.963205216,0.997306008
0.967,634,0.963314781,0.997320529
0.967,635,0.963423947,0.99733496
0.967,636,0.963532715,0.997349301
