Rec,Time,P1,P2
0.975,511,0.998113536,0.960987604
0.975,512,0.998126643,0.961141216
0.976,513,0.998139644,0.961294102
0.976,514,0.998152541,0.961446265
0.976,515,0.998165335,0.961597709
0.976,516,0.998178027,0.96174844
0.976,517,0.998190616,0.96189846
0.976,518,0.998203106,0.962047773
0.977,519,0.998215495,0.962196385
0.977,520,0.998227786,0.962344298
0.977,521,0.998239979,0.962491516
0.977,522,0.998252075,0.962638044
0.977,523,0.998264075,0.962783885
0.977,524,0.99827598,0.962929043
0.977,525,0.99828779,0.963073522
0.977,526,0.998299507,0.963217326
0.977,527,0.998311132,0.963360458
0.977,528,0.998322664,0.963502922
0.977,529,0.998334106,0.963644721
0.977,530,0.998345457,0.963785861
0.977,531,0.998356719,0.963926343
0.977,532,0.998367892,0.964066172
0.977,533,0.998378978,0.964205352
0.978,534,0.998389977,0.964343885
0.978,535,0.998400889,0.964481776
0.978,536,0.998411716,0.964619028
0.978,537,0.998422459,0.964755645
0.978,538,0.998433117,0.96489163
0.978,539,0.998443693,0.965026986
0.978,540,0.998454185,0.965161717
0.978,541,0.998464597,0.965295827
0.978,542,0.998474927,0.965429318
0.978,543,0.998485177,0.965562195
0.978,544,0.998495347,0.96569446
0.978,545,0.998505439,0.965826117
0.978,546,0.998515452,0.965957169
0.978,547,0.998525389,0.966087619
0.978,548,0.998535248,0.966217472
0.978,549,0.998545031,0.966346729
0.978,550,0.998554739,0.966475395
0.978,551,0.998564372,0.966603472
0.978,552,0.998573931,0.966730963
0.978,553,0.998583416,0.966857873
0.978,554,0.998592829,0.966984203
0.978,555,0.998602169,0.967109958
0.978,556,0.998611438,0.967235139
0.978,557,0.998620636,0.967359751
0.978,558,0.998629764,0.967483796
0.978,559,0.998638822,0.967607278
0.978,560,0.998647811,0.967730199
0.978,561,0.998656731,0.967852563
0.978,562,0.998665584,0.967974371
0.978,563,0.998674369,0.968095629
0.978,564,0.998683087,0.968216337
0.978,565,0.99869174,0.9683365
0.978,566,0.998700326,0.96845612
0.978,567,0.998708848,0.9685752
0.978,568,0.998717306,0.968693744
0.978,569,0.998725699,0.968811753
0.978,570,0.998734029,0.96892923
0.978,571,0.998742297,0.969046179
0.978,572,0.998750502,0.969162603
0.978,573,0.998758645,0.969278504
0.978,574,0.998766727,0.969393884
0.978,575,0.998774749,0.969508747
0.978,576,0.99878271,0.969623096
0.978,577,0.998790612,0.969736932
0.978,578,0.998798454,0.96985026
0.978,579,0.998806238,0.969963081
0.978,580,0.998813964,0.970075398
0.978,581,0.998821632,0.970187214
0.978,582,0.998829243,0.970298531
0.978,583,0.998836797,0.970409353
0.978,584,0.998844296,0.970519681
0.978,585,0.998851738,0.970629519
0.978,586,0.998859125,0.970738868
0.978,587,0.998866458,0.970847732
0.979,588,0.998873736,0.970956112
0.979,589,0.99888096,0.971064013
0.979,590,0.998888131,0.971171435
0.979,591,0.998895249,0.971278381
0.979,592,0.998902315,0.971384855
0.979,593,0.998909328,0.971490858
0.979,594,0.99891629,0.971596393
